Date,Open,High,Low,Close
02/23/22, 1987.47, 1995.08, 1937.64, 1939.51
02/22/22, 1988.54, 2003.52, 1958.30, 1977.05
02/18/22, 2019.53, 2021.35, 1988.70, 1999.44
02/17/22, 2052.04, 2052.04, 2013.11, 2016.03
02/16/22, 2052.91, 2067.76, 2040.16, 2060.93
02/15/22, 2041.79, 2061.40, 2041.79, 2060.61
02/14/22, 2026.99, 2039.42, 2010.28, 2028.55
02/11/22, 2075.28, 2084.09, 2023.78, 2031.42
02/10/22, 2095.81, 2110.88, 2064.91, 2073.56
02/09/22, 2098.56, 2113.41, 2098.56, 2112.32
02/08/22, 2067.99, 2091.61, 2061.81, 2086.82
02/07/22, 2084.32, 2089.84, 2064.22, 2070.55
02/04/22, 2072.29, 2100.12, 2057.97, 2081.87
02/03/22, 2093.85, 2099.84, 2061.73, 2065.41
02/02/22, 2118.71, 2129.91, 2105.50, 2127.18
02/01/22, 2094.59, 2109.46, 2078.84, 2107.56
01/31/22, 2054.96, 2093.42, 2044.82, 2092.61
01/28/22, 2006.08, 2053.63, 1985.40, 2053.15
01/27/22, 2021.44, 2043.79, 1992.08, 1998.58
01/26/22, 2034.40, 2053.17, 1984.89, 2005.95
01/25/22, 2005.98, 2029.80, 1972.59, 2003.70
01/24/22, 2002.65, 2029.73, 1938.11, 2026.16
01/21/22, 2061.81, 2071.40, 2024.24, 2024.95
01/20/22, 2098.00, 2122.07, 2065.82, 2068.11
01/19/22, 2115.00, 2126.85, 2088.85, 2090.13
01/18/22, 2131.26, 2131.26, 2106.42, 2110.13
01/14/22, 2135.83, 2151.17, 2129.57, 2149.93
01/13/22, 2185.14, 2189.10, 2142.05, 2146.00
01/12/22, 2183.50, 2192.90, 2173.98, 2182.25
01/11/22, 2156.06, 2176.01, 2141.98, 2175.44
01/10/22, 2144.94, 2158.65, 2112.73, 2157.21
01/07/22, 2164.72, 2170.22, 2148.17, 2156.76
01/06/22, 2162.39, 2176.66, 2152.13, 2163.23
01/05/22, 2209.02, 2213.03, 2167.89, 2168.49
01/04/22, 2222.65, 2227.86, 2204.04, 2212.68
01/03/22, 2202.38, 2219.46, 2195.89, 2219.44
12/31/21, 2201.95, 2206.84, 2194.36, 2194.58
12/30/21, 2210.27, 2218.51, 2201.72, 2203.33
12/29/21, 2210.29, 2215.59, 2203.09, 2210.10
12/28/21, 2214.92, 2219.58, 2206.68, 2209.01
